StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
080921,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080922,21000,2,10570,0.5,0.57,0.5,0.57,0.0,2021-03-22
080923,273000,4,146290,0.53,0.54,0.53,0.54,0.0,2021-03-22
080924,91000,1,60060,0.66,0.66,0.66,0.66,0.0,2021-03-22
080925,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080926,30000,11,29920,1.0,1.01,0.99,0.99,0.0,2021-03-22
080927,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080928,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080929,167000,9,196670,1.1,1.24,1.06,1.23,0.14,2021-03-22
080930,100000,1,119000,1.19,1.19,1.19,1.19,0.0,2021-03-22
080931,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080932,50000,2,38000,0.76,0.76,0.76,0.76,0.0,2021-03-22
080933,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080934,30000,8,66500,2.28,2.28,2.18,2.18,0.12,2021-03-22
080935,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080936,13000,3,11410,0.88,0.88,0.87,0.87,0.09,2021-03-22
080937,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080938,150000,3,144000,0.96,0.96,0.96,0.96,-0.15,2021-03-22
080939,125000,3,104750,0.85,0.85,0.83,0.83,-0.17,2021-03-22
080940,12000,1,30480,2.54,2.54,2.54,2.54,0.02,2021-03-22
080941,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080942,49000,2,61350,1.25,1.26,1.25,1.26,0.02,2021-03-22
080943,10000,1,9100,0.91,0.91,0.91,0.91,0.12,2021-03-22
080944,31000,5,35350,1.11,1.17,1.11,1.15,0.02,2021-03-22
080945,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080946,1930000,57,4090560,2.0,2.29,1.85,2.28,0.69,2021-03-22
080947,303000,23,744000,2.5,2.6,2.2,2.6,0.76,2021-03-22
080948,97000,8,81950,0.85,0.85,0.82,0.82,0.04,2021-03-22
080949,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080950,2000,2,3240,1.68,1.68,1.56,1.56,0.48,2021-03-22
080951,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080952,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080953,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080954,9000,1,8910,0.99,0.99,0.99,0.99,-0.16,2021-03-22
080955,257000,9,664470,2.56,2.62,2.55,2.62,-0.2,2021-03-22
080956,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080957,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080958,2744000,87,3674760,1.44,1.44,1.3,1.4,0.41,2021-03-22
080959,110000,13,277380,2.36,2.58,2.36,2.5,0.09,2021-03-22
080960,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080961,641000,22,1011060,1.41,1.63,1.41,1.58,0.13,2021-03-22
080962,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080963,3000,1,6000,2.0,2.0,2.0,2.0,-0.09,2021-03-22
080964,34000,6,21050,0.64,0.64,0.61,0.62,-0.05,2021-03-22
080965,248000,10,337630,1.34,1.37,1.34,1.37,0.08,2021-03-22
080966,77000,4,79260,0.98,1.03,0.98,1.03,-0.08,2021-03-22
080967,223000,11,270100,1.18,1.24,1.18,1.24,0.02,2021-03-22
080968,38000,1,50540,1.33,1.33,1.33,1.33,-0.03,2021-03-22
080969,631000,10,986690,1.61,1.69,1.54,1.63,0.01,2021-03-22
080970,325000,2,537750,1.71,1.71,1.65,1.65,-0.08,2021-03-22
080971,116000,4,122420,1.05,1.07,1.05,1.07,0.0,2021-03-22
080972,124000,5,96780,0.76,0.79,0.76,0.79,0.11,2021-03-22
080973,71000,4,81240,1.04,1.24,1.04,1.24,0.18,2021-03-22
080974,56000,6,58300,1.01,1.05,1.01,1.05,0.06,2021-03-22
080975,79000,9,117300,1.48,1.5,1.48,1.5,-0.02,2021-03-22
080976,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080977,220000,9,164050,0.77,0.78,0.74,0.77,0.02,2021-03-22
080978,307000,12,569290,1.77,1.95,1.77,1.92,0.12,2021-03-22
080979,330000,17,618420,1.8,1.97,1.78,1.94,0.12,2021-03-22
080980,22000,4,49360,2.27,2.33,2.13,2.33,0.09,2021-03-22
080981,107000,6,91290,0.86,0.88,0.85,0.88,-0.01,2021-03-22
080982,20000,1,28200,1.41,1.41,1.41,1.41,-0.01,2021-03-22
080983,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080984,1518000,32,1756960,1.14,1.17,1.14,1.16,-0.02,2021-03-22
080985,23000,2,23030,0.99,1.01,0.99,1.01,0.0,2021-03-22
080986,31000,3,19120,0.63,0.63,0.61,0.61,0.04,2021-03-22
080987,523000,46,429070,0.89,0.89,0.8,0.82,-0.07,2021-03-22
080988,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080989,55000,10,44770,0.8,0.83,0.79,0.83,0.0,2021-03-22
080990,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-22
080991,25000,3,12400,0.49,0.52,0.49,0.52,-0.01,2021-03-22
080992,30000,2,24900,0.83,0.83,0.83,0.83,-0.02,2021-03-22
080993,10000,1,10100,1.01,1.01,1.01,1.01,0.03,2021-03-22
080994,20000,2,14000,0.7,0.7,0.7,0.7,0.0,2021-03-22
080995,10000,3,7850,0.79,0.79,0.78,0.78,-0.14,2021-03-22
080996,181000,7,320570,1.65,1.79,1.65,1.78,0.02,2021-03-22
080997,50000,1,20500,0.41,0.41,0.41,0.41,-0.01,2021-03-22
080998,155000,6,56500,0.33,0.38,0.33,0.38,0.02,2021-03-22
080999,1000,1,970,0.97,0.97,0.97,0.97,0.01,2021-03-22
081000,1800000,33,2743190,1.35,1.62,1.35,1.62,0.47,2021-03-22
081001,172000,16,352460,1.97,2.16,1.95,2.16,0.24,2021-03-22
081002,257000,19,774480,2.98,3.18,2.97,3.02,0.03,2021-03-22
